date,year,decade,home_team,away_team,home_team_code,away_team_code,home_score,away_score,match_result,matchday_name,round,type,match_attendance,stadium_country_code,stadium_capacity
1967-10-04,1967,1960,Greece,Austria,GRE,AUT,4.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,32870.0,GRE,32115.0
1967-10-07,1967,1960,West Germany,Yugoslavia,FRG,YUG,3.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,70573.0,GER,0.0
1967-10-08,1967,1960,Belgium,Poland,BEL,POL,2.0,4.0,A,1,PRELIMINARY,GROUP_STAGE,35897.0,BEL,48693.0
1967-10-11,1967,1960,German Dem. Rep.,Denmark,GDR,DEN,3.0,2.0,H,1,PRELIMINARY,GROUP_STAGE,18519.0,GER,0.0
1967-10-15,1967,1960,Austria,USSR,AUT,URS,1.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,34300.0,AUT,49898.0
1967-10-21,1967,1960,Wales,England,WAL,ENG,0.0,3.0,A,1,PRELIMINARY,GROUP_STAGE,45056.0,WAL,12891.0
1967-10-21,1967,1960,Northern Ireland,Scotland,NIR,SCO,1.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,47359.0,NIR,18434.0
1967-10-22,1967,1960,Spain,Czechoslovakia,ESP,TCH,2.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,25314.0,ESP,76806.0
1967-10-28,1967,1960,France,Belgium,FRA,BEL,1.0,1.0,D,1,PRELIMINARY,GROUP_STAGE,14591.0,FRA,2000.0
1967-10-29,1967,1960,German Dem. Rep.,Hungary,GDR,HUN,1.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,48872.0,GER,0.0
1967-10-31,1967,1960,Greece,USSR,GRE,URS,0.0,1.0,A,1,PRELIMINARY,GROUP_STAGE,32850.0,GRE,32115.0
1967-11-01,1967,1960,Italy,Cyprus,ITA,CYP,5.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,22059.0,ITA,21195.0
1967-11-05,1967,1960,Austria,Greece,AUT,GRE,1.0,1.0,D,1,PRELIMINARY,GROUP_STAGE,31969.0,AUT,49898.0
1967-11-05,1967,1960,Sweden,Norway,SWE,NOR,5.0,2.0,H,1,PRELIMINARY,GROUP_STAGE,11526.0,SWE,35572.0
1967-11-08,1967,1960,Switzerland,Cyprus,SUI,CYP,5.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,3737.0,SUI,3618.0
1967-11-12,1967,1960,Yugoslavia,Albania,YUG,ALB,4.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,18573.0,SRB,29662.0
1967-11-12,1967,1960,Bulgaria,Sweden,BUL,SWE,3.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,16479.0,BUL,43230.0
1967-11-12,1967,1960,Portugal,Norway,POR,NOR,2.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,20500.0,POR,47327.0
1967-11-15,1967,1960,Türki̇ye,Czechoslovakia,TUR,TCH,0.0,0.0,D,1,PRELIMINARY,GROUP_STAGE,19760.0,TUR,19812.0
1967-11-18,1967,1960,Switzerland,Italy,SUI,ITA,2.0,2.0,D,1,PRELIMINARY,GROUP_STAGE,52560.0,SUI,30173.0
1967-11-22,1967,1960,Czechoslovakia,Republic of Ireland,TCH,IRL,1.0,2.0,A,1,PRELIMINARY,GROUP_STAGE,7615.0,CZE,19370.0
1967-11-22,1967,1960,Scotland,Wales,SCO,WAL,3.0,2.0,H,1,PRELIMINARY,GROUP_STAGE,55549.0,SCO,51824.0
1967-11-22,1967,1960,England,Northern Ireland,ENG,NIR,2.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,83969.0,ENG,78311.0
1967-11-22,1967,1960,Belgium,Luxembourg,BEL,LUX,3.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,6745.0,BEL,0.0
1967-11-26,1967,1960,Bulgaria,Portugal,BUL,POR,1.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,39795.0,BUL,43230.0
1967-12-17,1967,1960,Albania,West Germany,ALB,FRG,0.0,0.0,D,1,PRELIMINARY,GROUP_STAGE,21889.0,ALB,16147.0
1967-12-17,1967,1960,Portugal,Bulgaria,POR,BUL,0.0,0.0,D,1,PRELIMINARY,GROUP_STAGE,13408.0,POR,37942.0
1967-12-23,1967,1960,France,Luxembourg,FRA,LUX,3.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,7320.0,FRA,47926.0
1967-12-23,1967,1960,Italy,Switzerland,ITA,SUI,4.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,24743.0,ITA,0.0
1968-02-17,1968,1960,Cyprus,Switzerland,CYP,SUI,2.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,8000.0,CYP,22709.0
1968-02-24,1968,1960,Scotland,England,SCO,ENG,1.0,1.0,D,1,PRELIMINARY,GROUP_STAGE,134461.0,SCO,51824.0
1968-02-28,1968,1960,Wales,Northern Ireland,WAL,NIR,2.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,17669.0,WAL,9250.0
1968-04-03,1968,1960,England,Spain,ENG,ESP,1.0,0.0,H,1,QUARTER_FINALS,FIRST_LEG,94586.0,ENG,78311.0
1968-04-06,1968,1960,Bulgaria,Italy,BUL,ITA,3.0,2.0,H,1,QUARTER_FINALS,FIRST_LEG,57689.0,BUL,43230.0
1968-04-06,1968,1960,France,Yugoslavia,FRA,YUG,1.0,1.0,D,1,QUARTER_FINALS,FIRST_LEG,35456.0,FRA,66534.0
1968-04-20,1968,1960,Italy,Bulgaria,ITA,BUL,2.0,0.0,H,2,QUARTER_FINALS,SECOND_LEG,83830.0,ITA,54726.0
1968-04-24,1968,1960,Yugoslavia,France,YUG,FRA,5.0,1.0,H,2,QUARTER_FINALS,SECOND_LEG,47687.0,SRB,29662.0
1968-05-04,1968,1960,Hungary,USSR,HUN,URS,2.0,0.0,H,1,QUARTER_FINALS,FIRST_LEG,71556.0,HUN,25311.0
1968-05-08,1968,1960,Spain,England,ESP,ENG,1.0,2.0,A,2,QUARTER_FINALS,SECOND_LEG,66994.0,ESP,76806.0
1968-05-11,1968,1960,USSR,Hungary,URS,HUN,3.0,0.0,H,2,QUARTER_FINALS,SECOND_LEG,91129.0,RUS,81015.0
1970-10-07,1970,1970,Czechoslovakia,Finland,TCH,FIN,1.0,1.0,D,1,PRELIMINARY,GROUP_STAGE,5549.0,CZE,18349.0
1970-10-07,1970,1970,Norway,Hungary,NOR,HUN,1.0,3.0,A,1,PRELIMINARY,GROUP_STAGE,15991.0,NOR,27184.0
